temp,sp,denli,denva,enth,heatli,heatva,therli,therva,dynli,dynva,prandlli,prandlva,vol
0.01,1,999.8,0.0048,2501,4217,1854,0.561,0.0171,1.79E-03,9.22E-06,13.5,1,-0.000068
5,9,999.9,0.0068,2490,4205,1857,0.571,0.0173,1.52E-03,9.34E-06,11.2,1,0.000015
10,1,999.7,0.0094,2478,4194,1862,0.58,0.0176,1.31E-03,9.46E-06,9.45,1,0.000733
15,2,999.1,0.0128,2466,4185,1863,0.589,0.0179,1.14E-03,9.59E-06,8.09,1,0.000138
20,2,998,0.0173,2454,4182,1867,0.598,0.0182,1.00E-03,9.73E-06,7.01,1,0.000195
25,3,997,0.0231,2442,4180,1870,0.607,0.0186,8.91E-04,9.87E-06,6.14,1,2.47E-04
30,4,996,0.0304,2431,4178,1875,0.615,0.0189,7.89E-04,1.00E-05,5.42,1,2.94E-04
35,6,994,0.0397,2419,4178,1880,0.623,0.0192,7.20E-04,1.02E-05,4.83,1,3.37E-04
40,7,992.1,0.0512,2407,4179,1885,0.631,0.0196,6.53E-04,1.03E-05,4.32,1,3.77E-04
45,10,990.1,0.0655,2395,4180,1892,0.637,0.02,5.96E-04,1.05E-05,3.91,1,4.15E-04
50,12.35,988.1,0.0831,2383,4181,1900,0.644,0.0204,5.47E-04,1.06E-05,3.55,1,4.51E-04
55,15.76,985.2,0.1045,2371,4183,1908,0.649,0.0208,5.04E-04,1.08E-05,3.25,1,4.84E-04
60,19.94,983.3,0.1304,2359,4185,1916,0.654,0.0212,4.67E-04,1.09E-05,2.99,1,5.17E-04
65,25.03,980.4,0.1614,2346,4187,1926,0.659,0.0216,4.33E-04,1.11E-05,2.75,1,5.48E-04
70,31.19,977.5,0.1983,2334,4190,1936,0.663,0.0221,4.04E-04,1.13E-05,2.55,1,5.78E-04
75,38.58,974.4,0.2421,2321,4193,1948,0.667,0.0225,3.78E-04,1.14E-05,2.38,1,6.07E-04
80,47.39,971.8,0.2935,2309,4197,1962,0.67,0.023,3.55E-04,1.16E-05,2.22,1,6.53E-04
85,57.83,968.1,0.3536,2296,4201,1977,0.673,0.0235,3.33E-04,1.18E-05,2.08,1,6.70E-04
90,70.14,965.3,0.4235,2283,4206,1993,0.675,0.024,3.15E-04,1.19E-05,1.96,1,7.02E-04
95,84.55,961.5,0.5045,2270,4212,2010,0.677,0.0246,2.97E-04,1.21E-05,1.85,1,7.16E-04
100,101.33,957.9,0.5978,2257,4217,2029,0.679,0.0251,2.82E-04,1.23E-05,1.75,1,7.50E-04
110,143.27,950.6,0.8263,2230,4229,2071,0.682,0.0262,2.55E-04,1.26E-05,1.58,1,7.98E-04
120,198.53,943.4,1.121,2203,4244,2120,0.683,0.0275,2.32E-04,1.30E-05,1.44,1,8.58E-04
130,270.1,934.6,1.496,2174,4263,2177,0.684,0.0288,2.13E-04,1.33E-05,1.33,1.01,9.13E-04
140,361.3,921.7,1.965,2145,4286,2244,0.683,0.0301,1.97E-04,1.37E-05,1.24,1.02,9.70E-04
150,475.8,916.6,2.546,2114,4311,2314,0.682,0.0316,1.83E-04,1.40E-05,1.16,1.02,1.03E-03
160,617.8,907.4,3.256,2083,4340,2420,0.68,0.0331,1.70E-04,1.43E-05,1.09,1.05,1.15E-03
170,791.7,897.7,4.119,2050,4370,2490,0.677,0.0347,1.60E-04,1.47E-05,1.03,1.05,1.18E-03
180,1002.1,887.3,5.153,2015,4410,2590,0.673,0.0364,1.50E-04,1.50E-05,0.983,1.07,1.21E-03
190,1254.4,876.4,6.388,1979,4460,2710,0.669,0.0382,1.42E-04,1.54E-05,0.947,1.09,1.28E-03
200,1553.8,864.3,7.852,1941,4500,2840,0.663,0.0401,1.34E-04,1.57E-05,0.91,1.11,1.35E-03
